0 0 1	0.9	1.44	0.765	0	0	0	0	0	0	0.63	146.16	33.84	38.205	0.72	0.81	0	11.4437	0.6065	0	0	0	0	0	0	3.7275	10288.1201	0	7.605	0.1922	2.8506	0.9	42.12	10.17	0	0	0	0	0	0	211.14	22050.45	33.84	76.41	3.51	71.46	0.0187	0.9027	0.308	0	0	0	0	0	0	6.5133	9.6693	0.176	0.4613	0.1253	1.884	0	92.4342	121.8466	0	0	0	0	0	0	150	60	0	1056.8349	591.6925	108.1665	1.0223	1.1354	1.1022	0	0	0	0	0	0	1.1141	1.0561	1.0835	1.101	1.1046	1.1289	1	7.75	5.3182	0	0	0	0	0	0	25.2784	4.6576	1.6923	2.9322	3.6154	12.4211	0.0044	0.0267	0.0444	0	0	0	0	0	0	0.7911	0.0133	0.0044	0.0089	0.0222	0.1911	0.00004	0.001872	0.000452	0	0	0	0	0	0	0.009384	0.98002	0.001504	0.003396	0.000156	0.003176	4.761	1.1141	0.0547	0.0394	2004	1402	1408.16	.6	3	3	4	3	2	1	1	1	2	2	3	3	6	1	1	2	3	5	5	4	3	3	2	1	1	3	0	0	0	0	0	
0 0 1	1.62	1.395	0.63	0	0	0.63	0	0.63	0	0.72	0.99	0	20.16	2.295	3.42	20.6884	13.7391	1.5203	0	0	1.5952	0	0.492	0	0.7822	6106.4253	0	11.9514	4.1403	6.0378	46.98	574.47	8.64	0	0	32.67	0	3.96	0	159.39	21256.38	0	115.47	93.51	208.53	0.256	15.8827	0.2453	0	0	0.9653	0	0.12	0	4.8133	26.288	0	0.784	1.888	4.352	1671.4066	67.082	271.6616	0	0	212.132	0	4263.8011	0	180	60	0	3370.8308	120	67.082	1.0856	1.181	1.0945	0	0	1.1347	0	1.0264	0	1.11	1.0663	0	1.0961	1.1557	1.1633	2.087	37.4438	4.6	0	0	9.3846	0	3.2857	0	21.2824	11.107	0	4.0972	11	16.9278	0.0133	0.5422	0.0311	0	0	0.1111	0	0.0267	0	0.7244	0.0489	0	0.0267	0.1156	0.1867	0.002088	0.025532	0.000384	0	0	0.001452	0	0.000176	0	0.007084	0.944728	0	0.005132	0.004156	0.009268	11.424	1.1347	0.0681	0.1067	2003	1920	1923.14	14.7	3	3	5	4	2	2	1	1	2	3	3	4	7	1	1	2	3	5	4	5	5	3	2	1	1	3	0	0	0	0	1	
1 0 0	0.72	1.215	0.63	0.495	0	0.63	0.81	0.45	0	0.63	0.9	12.33	23.895	0.72	0.99	212.4757	15.6881	0.7628	0.045	0	0.4724	0.4555	0.0315	0	0.9745	660.388	3.15	464.5787	1.9663	9.379	996.12	722.25	23.31	0.99	0	20.16	27.09	3.24	0	34.02	14255.46	24.66	5931.45	77.94	383.31	3.5093	23.6507	0.68	0.0427	0	0.524	0.7893	0.1333	0	1.24	53.128	0.5147	42.5227	2.2093	7.2693	240	67.082	189.7367	1002.6465	0	571.8677	570	483.7355	0	94.8683	60	630	60	201.2461	94.8683	1.1103	1.1683	1.0831	1.124	0	1.073	1.1065	1.1065	0	1.1283	1.1283	1.2439	1.1555	1.1214	1.1289	6.2417	49.55	7.9697	2.2857	0	6.6333	8.4571	4.1667	0	11.9231	25.9171	5.6765	31.4416	14.0847	20.916	0.0889	0.8089	0.1067	0.0089	0	0.1067	0.1289	0.0311	0	0.1556	1.5289	0.0089	0.1689	0.2711	0.5422	0.044272	0.0321	0.001036	0.000044	0	0.000896	0.001204	0.000144	0	0.001512	0.633576	0.001096	0.26362	0.003464	0.017036	26.54	1.1322	0.067	0.5258	2005	1260	1260.88	3.3	3	3	4	3	2	1	1	1	2	2	3	3	7	1	1	3	3	6	5	5	4	3	2	1	1	3	0	0	0	0	0	
0 1 0	0.81	1.08	0.9	0.72	1.08	0.585	0.585	0	0	0	0.9	10.53	18.54	0	0	1.4617	20.9638	14.2687	1.1485	0.2581	0.045	1.9995	0	0	0	3.5941	33.3372	4045.3054	0	0	108.45	856.08	140.13	12.06	3.15	2.34	40.77	0	0	0	575.37	287.01	20474.64	0	0	2.3947	22.392	2.46	0.3333	0.0907	0.08	1.068	0	0	0	12.164	1.704	31.4093	0	0	300	67.082	67.082	157.2628	60	3544.6926	445.9821	0	0	0	120	877.94	60	0	0	1.079	1.1463	1.1186	1.0861	1.079	1.0556	1.0831	0	0	0	1.1141	1.1244	1.1506	0	0	12.9	42.9592	11.7089	5.2083	2.8333	2.7273	9.3721	0	0	0	28.625	5.6549	13.3407	0	0	0.3244	0.8756	0.1289	0.0444	0.0133	0.0178	0.16	0	0	0	1.3333	0.0533	0.0489	0	0	0.00482	0.038048	0.006228	0.000536	0.00014	0.000104	0.001812	0	0	0	0.025572	0.012756	0.909984	0	0	14.893	1.1183	0.0645	0.1696	2005	839	843.14	1	3	3	2	2	1	1	1	1	1	2	2	3	5	1	2	3	4	6	6	5	5	5	3	2	2	4	0	0	0	0	1	
0 1 0	0	34.83	0	0	0	0.54	0	0.9	0	0.81	0.72	0	0	0	0	0	25.5147	0	0	0	0.4442	0	0.701	0	22.9483	3038.2498	0	0	0	0	0	100.71	0	0	0	5.85	0	2.97	0	1949.58	20440.89	0	0	0	0	0	1.8387	0	0	0	0.16	0	0.0947	0	32.3947	34.1573	0	0	0	0	0	60	0	0	0	279.783	0	296.9848	0	67.082	60	0	0	0	0	0	1.2911	0	0	0	1.0745	0	1.1216	0	1.1216	1.1087	0	0	0	0	0	10.3134	0	0	0	3.5294	0	3	0	41.6814	14.3176	0	0	0	0	0	0.0133	0	0	0	0.0356	0	0.0133	0	1.4889	0.1956	0	0	0	0	0	0.004476	0	0	0	0.00026	0	0.000132	0	0.086648	0.908484	0	0	0	0	13.871	1.1214	0.0696	0.1671	2001	1330	1336.11	.9	3	3	4	3	2	1	1	1	2	2	3	3	6	1	1	2	3	5	4	5	4	3	2	2	1	3	0	0	0	0	1	
0 0 1	0	0	0	0	0	0.63	0	0	0	0.72	0.81	0	24.57	0	1.89	0	69.551	0	0	0	0.9677	0	0	0	251.4454	341.6251	0	136.9432	0	4.5694	0	697.5	0	0	0	11.07	0	0	0	8908.65	11267.46	0	1567.62	0	47.7	0	21.9293	0	0	0	0.3093	0	0	0	81.948	86.948	0	5.272	0	0.9	0	67.082	0	0	0	964.2095	0	0	0	67.082	60	0	60	0	362.7051	0	1.1473	0	0	0	1.1317	0	0	0	1.1398	1.1309	0	1.0935	0	1.1099	0	46.7401	0	0	0	5.0435	0	0	0	49.3206	46.8404	0	7.678	0	7.2128	0	0.2089	0	0	0	0.0489	0	0	0	2.8311	2.6667	0	0.0711	0	0.0622	0	0.031	0	0	0	0.000492	0	0	0	0.39594	0.500776	0	0.069672	0	0.00212	37.995	1.1383	0.0635	0.5866	2001	1537	1542	3.3	3	3	3	2	2	1	1	1	2	2	3	3	6	1	1	1	2	4	4	5	4	2	1	1	1	2	0	0	0	0	0	
0 1 0	8.1	1.62	0.45	0	0	0.63	0.81	0.495	0	0.72	0.9	21.24	16.065	0	0	0	17.8911	0.5229	0	0	0.5088	0.8916	0.196	0	3.4599	379.1784	26.5963	1387.5124	0	0	8.1	656.55	3.96	0	0	5.31	27.36	7.11	0	655.74	10614.6	407.16	10114.11	0	0	0.0853	21.4427	0.0973	0	0	0.1893	0.7813	0.2707	0	18.2093	58.756	4.4573	47.276	0	0	0	60	391.1521	0	0	84.8528	379.5926	678.2338	0	84.8528	60	234.3075	60	0	0	1.0925	1.1813	1.0699	0	0	1.0945	1.104	1.1055	0	1.1347	1.1289	1.2091	1.1886	0	0	1.6842	47.2515	3.2143	0	0	4.4375	8.4	5.7778	0	40.0526	32.7307	12.7481	27.0566	0	0	0.0044	0.4578	0.0222	0	0	0.0311	0.1156	0.0533	0	1.7467	1.5822	0.0578	0.1333	0	0	0.00036	0.02918	0.000176	0	0	0.000236	0.001216	0.000316	0	0.029144	0.47176	0.018096	0.449516	0	0	29.4185	1.1347	0.0684	0.5733	2004	1310	1297.72	1	3	3	4	2	2	1	1	1	2	2	3	3	6	1	1	2	3	5	5	5	4	3	2	2	1	3	0	0	0	0	1	
0 0 1	7.02	1.17	0	0	0	0.855	0.9	0	0	0.54	0.9	11.61	18.765	0	0	0	13.7351	0	0	0	1.8327	1.5947	0	0	0.8634	2212.0927	7.3169	367.4069	0	0	7.02	560.52	0	0	0	7.47	10.35	0	0	28.62	17571.15	42.48	4272.39	0	0	0.056	17.5973	0	0	0	0.112	0.2933	0	0	1.0827	25.5653	0.4667	12.24	0	0	0	67.082	0	0	0	2168.0299	1167.3046	0	0	210	60	6086.1564	195	0	0	1.031	1.1728	0	0	0	1.0429	1.1327	0	0	1.1141	1.1141	1.1942	1.1015	0	0	1.1667	41.9494	0	0	0	2.2105	5	0	0	11.4444	11.6731	4.25	11.0344	0	0	0.0044	0.72	0	0	0	0.0178	0.0311	0	0	0.1689	0.2533	0.0133	0.1156	0	0	0.000312	0.024912	0	0	0	0.000332	0.00046	0	0	0.001272	0.78094	0.001888	0.189884	0	0	11.765	1.1455	0.0738	0.3535	2002	1251	1246.18	1.5	3	3	4	3	2	1	1	1	2	2	3	3	6	1	1	3	3	6	5	5	4	3	2	2	1	3	0	0	0	0	1	
0 0 1	0.495	1.08	1.125	0.45	0.9	1.62	0.72	0	0	0.54	0.9	11.88	121.32	1.755	0.81	0.1855	16.41	7.0774	1.325	0	3.6281	0.5291	0	0	0.187	564.3859	14.3787	809.4002	12.0986	7.4655	1.62	686.97	29.79	4.86	0.9	29.97	30.51	0	0	16.02	12045.78	296.46	9140.22	151.29	65.61	0.052	19.4267	0.704	0.1493	0.0293	0.664	0.8627	0	0	0.5787	34.2853	3.4253	28.4267	2.2507	1.292	4998.0561	67.082	63.541	63.541	0	212.132	276.5863	0	0	362.4914	67.082	240	60	67.082	67.082	1.0369	1.1416	1.1415	1.1224	1.1216	1.1141	1.078	0	0	1.1065	1.117	1.123	1.1407	1.0861	1.1415	2.2222	41.7429	7.1351	3.7333	1.5714	6.7297	8.8108	0	0	8.037	18.2705	11.5826	17.3464	10.3293	9.0185	0.0178	1	0.0356	0.0178	0.0044	0.0489	0.1556	0	0	0.12	1.24	0.0889	0.12	0.0978	0.1022	0.000072	0.030532	0.001324	0.000216	0.00004	0.001332	0.001356	0	0	0.000712	0.535368	0.013176	0.406232	0.006724	0.002916	18.2775	1.1216	0.0625	0.5472	2005	955	950.69	1.9	3	3	4	2	2	1	1	1	2	2	3	3	6	1	1	3	4	6	6	5	4	3	2	2	1	3	0	0	0	0	1	
0 1 0	0.81	1.44	0.675	4.41	0.45	0	0.765	0	0	1.62	0.9	15.48	26.37	1.08	1.17	2.5955	18.7769	7.9286	0	0	0.7138	0.5073	0	0	0.9678	1029.7081	12.8521	124.1088	8.8652	4.3047	15.3	677.52	34.38	4.41	0.45	19.62	31.32	0	0	10.53	17358.12	280.89	3621.06	359.1	87.3	0.3067	17.6427	0.7173	0.1093	0.016	0.5013	0.9067	0	0	0.264	35.572	4.388	20.0427	6.4907	2.352	120	60	792.5907	0	0	1699.4411	268.3282	0	0	67.082	60	212.132	84.8528	90	94.8683	1.1214	1.1802	1.1022	1.201	1.0699	1.0699	1.1065	0	0	1.1176	1.1205	1.2468	1.1312	1.1214	1.1407	4.2593	38.1207	6.725	2.9286	1.2	6.3	8.9474	0	0	4.5	16.0739	14.6964	19.1592	19.2126	14	0.04	0.5244	0.0444	0.0044	0.0044	0.0933	0.1511	0	0	0.0311	0.5956	0.0578	0.2489	0.3511	0.1467	0.00068	0.030112	0.001528	0.000196	0.00002	0.000872	0.001392	0	0	0.000468	0.771472	0.012484	0.160936	0.01596	0.00388	17.7455	1.1289	0.0725	0.3776	2003	1019	1003.74	1.4	3	3	3	2	2	1	1	1	2	2	2	3	6	1	1	3	4	6	6	5	4	3	2	2	1	3	0	0	0	0	0	
